instant;date;time;hr;weekdays;month;cnt;t1;t2;hum;wind_speed;weather_code;is_holiday;is_weekend;season
1;04.01.2015;00:00:00;00;Sonntag;01;182;3;2;93;6;3;0;1;3
2;04.01.2015;01:00:00;01;Sonntag;01;138;3;2.5;93;5;1;0;1;3
3;04.01.2015;02:00:00;02;Sonntag;01;134;2.5;2.5;96.5;0;1;0;1;3
4;04.01.2015;03:00:00;03;Sonntag;01;72;2;2;100;0;1;0;1;3
5;04.01.2015;04:00:00;04;Sonntag;01;47;2;0;93;6.5;1;0;1;3
6;04.01.2015;05:00:00;05;Sonntag;01;46;2;2;93;4;1;0;1;3
7;04.01.2015;06:00:00;06;Sonntag;01;51;1;-1;100;7;4;0;1;3
8;04.01.2015;07:00:00;07;Sonntag;01;75;1;-1;100;7;4;0;1;3
9;04.01.2015;08:00:00;08;Sonntag;01;131;1.5;-1;96.5;8;4;0;1;3
10;04.01.2015;09:00:00;09;Sonntag;01;301;2;-0.5;100;9;3;0;1;3
11;04.01.2015;10:00:00;10;Sonntag;01;528;3;-0.5;93;12;3;0;1;3
12;04.01.2015;11:00:00;11;Sonntag;01;727;2;-1.5;100;12;3;0;1;3
13;04.01.2015;12:00:00;12;Sonntag;01;862;2;-1.5;96.5;13;4;0;1;3
14;04.01.2015;13:00:00;13;Sonntag;01;916;3;-0.5;87;15;3;0;1;3
15;04.01.2015;14:00:00;14;Sonntag;01;1039;2.5;0;90;8;3;0;1;3
16;04.01.2015;15:00:00;15;Sonntag;01;869;2;-1.5;93;11;3;0;1;3
17;04.01.2015;16:00:00;16;Sonntag;01;737;3;0;93;12;3;0;1;3
18;04.01.2015;17:00:00;17;Sonntag;01;594;3;0;93;11;3;0;1;3
19;04.01.2015;18:00:00;18;Sonntag;01;522;3;1.5;93;6.5;3;0;1;3
20;04.01.2015;19:00:00;19;Sonntag;01;379;3;1;93;7;3;0;1;3
21;04.01.2015;20:00:00;20;Sonntag;01;328;3;3;93;4;3;0;1;3
22;04.01.2015;21:00:00;21;Sonntag;01;221;3;2.5;93;5;4;0;1;3
23;04.01.2015;22:00:00;22;Sonntag;01;178;3;2;93;6;4;0;1;3
24;04.01.2015;23:00:00;23;Sonntag;01;157;4;3.5;87;5;4;0;1;3
25;05.01.2015;00:00:00;00;Montag;01;83;4;3;93;6;4;0;0;3
26;05.01.2015;01:00:00;01;Montag;01;67;4;3.5;93;5;4;0;0;3
27;05.01.2015;02:00:00;02;Montag;01;32;5;4;87;6;4;0;0;3
28;05.01.2015;03:00:00;03;Montag;01;22;6;4.5;84;7.5;4;0;0;3
29;05.01.2015;04:00:00;04;Montag;01;38;6.5;5;84;8;4;0;0;3
30;05.01.2015;05:00:00;05;Montag;01;81;6;5.5;87;5;4;0;0;3
31;05.01.2015;06:00:00;06;Montag;01;444;7;6.5;81;5;3;0;0;3
32;05.01.2015;07:00:00;07;Montag;01;1597;7;6;81;6.5;3;0;0;3
33;05.01.2015;08:00:00;08;Montag;01;3161;8;7.5;79;5;3;0;0;3
34;05.01.2015;09:00:00;09;Montag;01;1342;8;7;82;6;3;0;0;3
35;05.01.2015;10:00:00;10;Montag;01;568;9;8;84.5;6.5;3;0;0;3
36;05.01.2015;11:00:00;11;Montag;01;584;9;7.5;90.5;10;3;0;0;3
37;05.01.2015;12:00:00;12;Montag;01;762;10;8;85;11;3;0;0;3
38;05.01.2015;13:00:00;13;Montag;01;873;10;8.5;82;10;3;0;0;3
39;05.01.2015;14:00:00;14;Montag;01;672;10;9;82;9;3;0;0;3
40;05.01.2015;15:00:00;15;Montag;01;807;10;8.5;79;10;3;0;0;3
41;05.01.2015;16:00:00;16;Montag;01;1192;10;8.5;73.5;13;3;0;0;3
42;05.01.2015;17:00:00;17;Montag;01;2761;9.5;7.5;73.5;12;3;0;0;3
43;05.01.2015;18:00:00;18;Montag;01;2389;9.5;7.5;69;14;3;0;0;3
