instant;date;time;hr;weekdays;month;cnt;t1;t2;hum;wind_speed;weather_code;is_holiday;is_weekend;season
1;2015-01-04;00:00:00;0;Sonntag;1;182;3;2;93;6;3;0;1;3
2;2015-01-04;01:00:00;1;Sonntag;1;138;3;2.5;93;5;1;0;1;3
3;2015-01-04;02:00:00;2;Sonntag;1;134;2.5;2.5;96.5;0;1;0;1;3
4;2015-01-04;03:00:00;3;Sonntag;1;72;2;2;100;0;1;0;1;3
5;2015-01-04;04:00:00;4;Sonntag;1;47;2;0;93;6.5;1;0;1;3
6;2015-01-04;05:00:00;5;Sonntag;1;46;2;2;93;4;1;0;1;3
7;2015-01-04;06:00:00;6;Sonntag;1;51;1;-1;100;7;4;0;1;3
8;2015-01-04;07:00:00;7;Sonntag;1;75;1;-1;100;7;4;0;1;3
9;2015-01-04;08:00:00;8;Sonntag;1;131;1.5;-1;96.5;8;4;0;1;3
10;2015-01-04;09:00:00;9;Sonntag;1;301;2;-0.5;100;9;3;0;1;3
11;2015-01-04;10:00:00;10;Sonntag;1;528;3;-0.5;93;12;3;0;1;3
12;2015-01-04;11:00:00;11;Sonntag;1;727;2;-1.5;100;12;3;0;1;3
13;2015-01-04;12:00:00;12;Sonntag;1;862;2;-1.5;96.5;13;4;0;1;3
14;2015-01-04;13:00:00;13;Sonntag;1;916;3;-0.5;87;15;3;0;1;3
15;2015-01-04;14:00:00;14;Sonntag;1;1039;2.5;0;90;8;3;0;1;3
16;2015-01-04;15:00:00;15;Sonntag;1;869;2;-1.5;93;11;3;0;1;3
17;2015-01-04;16:00:00;16;Sonntag;1;737;3;0;93;12;3;0;1;3
18;2015-01-04;17:00:00;17;Sonntag;1;594;3;0;93;11;3;0;1;3
19;2015-01-04;18:00:00;18;Sonntag;1;522;3;1.5;93;6.5;3;0;1;3
20;2015-01-04;19:00:00;19;Sonntag;1;379;3;1;93;7;3;0;1;3
21;2015-01-04;20:00:00;20;Sonntag;1;328;3;3;93;4;3;0;1;3
22;2015-01-04;21:00:00;21;Sonntag;1;221;3;2.5;93;5;4;0;1;3
23;2015-01-04;22:00:00;22;Sonntag;1;178;3;2;93;6;4;0;1;3
24;2015-01-04;23:00:00;23;Sonntag;1;157;4;3.5;87;5;4;0;1;3
25;2015-01-05;00:00:00;0;Montag;1;83;4;3;93;6;4;0;0;3
26;2015-01-05;01:00:00;1;Montag;1;67;4;3.5;93;5;4;0;0;3
27;2015-01-05;02:00:00;2;Montag;1;32;5;4;87;6;4;0;0;3
28;2015-01-05;03:00:00;3;Montag;1;22;6;4.5;84;7.5;4;0;0;3
29;2015-01-05;04:00:00;4;Montag;1;38;6.5;5;84;8;4;0;0;3
30;2015-01-05;05:00:00;5;Montag;1;81;6;5.5;87;5;4;0;0;3
31;2015-01-05;06:00:00;6;Montag;1;444;7;6.5;81;5;3;0;0;3
32;2015-01-05;07:00:00;7;Montag;1;1597;7;6;81;6.5;3;0;0;3
33;2015-01-05;08:00:00;8;Montag;1;3161;8;7.5;79;5;3;0;0;3
34;2015-01-05;09:00:00;9;Montag;1;1342;8;7;82;6;3;0;0;3
35;2015-01-05;10:00:00;10;Montag;1;568;9;8;84.5;6.5;3;0;0;3
36;2015-01-05;11:00:00;11;Montag;1;584;9;7.5;90.5;10;3;0;0;3
37;2015-01-05;12:00:00;12;Montag;1;762;10;8;85;11;3;0;0;3
38;2015-01-05;13:00:00;13;Montag;1;873;10;8.5;82;10;3;0;0;3
39;2015-01-05;14:00:00;14;Montag;1;672;10;9;82;9;3;0;0;3
40;2015-01-05;15:00:00;15;Montag;1;807;10;8.5;79;10;3;0;0;3
41;2015-01-05;16:00:00;16;Montag;1;1192;10;8.5;73.5;13;3;0;0;3
42;2015-01-05;17:00:00;17;Montag;1;2761;9.5;7.5;73.5;12;3;0;0;3
43;2015-01-05;18:00:00;18;Montag;1;2389;9.5;7.5;69;14;3;0;0;3
44;2015-01-05;19:00:00;19;Montag;1;1274;9;6.5;71;14;3;0;0;3
45;2015-01-05;20:00:00;20;Montag;1;696;9;7;71;14;3;0;0;3
46;2015-01-05;21:00:00;21;Montag;1;411;9;7;71;11;3;0;0;3
47;2015-01-05;22:00:00;22;Montag;1;324;9;7.5;71;10;4;0;0;3
48;2015-01-05;23:00:00;23;Montag;1;192;8.5;7.5;73.5;8;4;0;0;3
49;2015-01-06;00:00:00;0;Dienstag;1;91;8;6.5;76;8;4;0;0;3
50;2015-01-06;01:00:00;1;Dienstag;1;73;8;6.5;76;8;4;0;0;3
51;2015-01-06;02:00:00;2;Dienstag;1;33;8;6;76;11;4;0;0;3
52;2015-01-06;03:00:00;3;Dienstag;1;19;8;5.5;76;14;4;0;0;3
53;2015-01-06;04:00:00;4;Dienstag;1;40;8.5;6.5;73.5;11;4;0;0;3
54;2015-01-06;05:00:00;5;Dienstag;1;74;8;5.5;82;14;4;0;0;3
55;2015-01-06;06:00:00;6;Dienstag;1;530;8;5;84.5;15;3;0;0;3
56;2015-01-06;07:00:00;7;Dienstag;1;1715;9;7;82;13;3;0;0;3
57;2015-01-06;08:00:00;8;Dienstag;1;3534;9;7;82;12;7;0;0;3
58;2015-01-06;09:00:00;9;Dienstag;1;1573;9;6.5;87;16;7;0;0;3
59;2015-01-06;10:00:00;10;Dienstag;1;635;10;7.5;88;19.5;3;0;0;3
60;2015-01-06;11:00:00;11;Dienstag;1;550;10;8;88;18;3;0;0;3
61;2015-01-06;12:00:00;12;Dienstag;1;395;11;11;85;19;7;0;0;3
62;2015-01-06;13:00:00;13;Dienstag;1;426;9.5;6;84.5;27.5;3;0;0;3
63;2015-01-06;14:00:00;14;Dienstag;1;579;9;6;71;26;3;0;0;3
64;2015-01-06;15:00:00;15;Dienstag;1;718;8;4.5;71;23;2;0;0;3
65;2015-01-06;16:00:00;16;Dienstag;1;1184;8;5;68.5;19.5;2;0;0;3
66;2015-01-06;17:00:00;17;Dienstag;1;2662;7.5;4;71;22;1;0;0;3
67;2015-01-06;18:00:00;18;Dienstag;1;2610;7;4;71;17.5;1;0;0;3
68;2015-01-06;19:00:00;19;Dienstag;1;1402;6;3;76;15;1;0;0;3
69;2015-01-06;20:00:00;20;Dienstag;1;720;5.5;2.5;78.5;15;1;0;0;3
70;2015-01-06;21:00:00;21;Dienstag;1;494;5;2;81;15;1;0;0;3
71;2015-01-06;22:00:00;22;Dienstag;1;344;4.5;1.5;81;13;1;0;0;3
72;2015-01-06;23:00:00;23;Dienstag;1;212;4;1;84;12;1;0;0;3
73;2015-01-07;00:00:00;0;Mittwoch;1;102;4;1;81;12;1;0;0;3
74;2015-01-07;01:00:00;1;Mittwoch;1;60;4;1;81;11;1;0;0;3
75;2015-01-07;02:00:00;2;Mittwoch;1;33;4;1.5;81;10;1;0;0;3
76;2015-01-07;03:00:00;3;Mittwoch;1;26;3.5;1;84;9;2;0;0;3
77;2015-01-07;04:00:00;4;Mittwoch;1;33;4;1.5;81;10;2;0;0;3
78;2015-01-07;05:00:00;5;Mittwoch;1;80;4;2;87;9;1;0;0;3
79;2015-01-07;06:00:00;6;Mittwoch;1;526;5;2.5;81;10;1;0;0;3
80;2015-01-07;07:00:00;7;Mittwoch;1;1757;5.5;2.5;81;13;1;0;0;3
81;2015-01-07;08:00:00;8;Mittwoch;1;3618;6.5;3.5;81;15;2;0;0;3
82;2015-01-07;09:00:00;9;Mittwoch;1;1714;8;5;76;19;3;0;0;3
83;2015-01-07;10:00:00;10;Mittwoch;1;763;8;5;82;19.5;2;0;0;3
84;2015-01-07;11:00:00;11;Mittwoch;1;690;9;6;76;21;2;0;0;3
85;2015-01-07;12:00:00;12;Mittwoch;1;913;9;5.5;76;27;2;0;0;3
86;2015-01-07;13:00:00;13;Mittwoch;1;982;9.5;6;71.5;28;2;0;0;3
87;2015-01-07;14:00:00;14;Mittwoch;1;783;10;6.5;62;28.5;2;0;0;3
88;2015-01-07;15:00:00;15;Mittwoch;1;794;9;6;68.5;25;2;0;0;3
89;2015-01-07;16:00:00;16;Mittwoch;1;1171;9;6;76;25;3;0;0;3
90;2015-01-07;17:00:00;17;Mittwoch;1;2647;9.5;6.5;71.5;24;3;0;0;3
