hr;weekdays;cnt
0;Sonntag;182
1;Sonntag;138
2;Sonntag;134
3;Sonntag;72
4;Sonntag;47
5;Sonntag;46
6;Sonntag;51
7;Sonntag;75
8;Sonntag;131
9;Sonntag;301
10;Sonntag;528
11;Sonntag;727
12;Sonntag;862
13;Sonntag;916
14;Sonntag;1039
15;Sonntag;869
16;Sonntag;737
17;Sonntag;594
18;Sonntag;522
19;Sonntag;379
20;Sonntag;328
21;Sonntag;221
22;Sonntag;178
23;Sonntag;157
0;Montag;83
1;Montag;67
2;Montag;32
3;Montag;22
4;Montag;38
5;Montag;81
6;Montag;444
7;Montag;1597
8;Montag;3161
9;Montag;1342
10;Montag;568
11;Montag;584
12;Montag;762
13;Montag;873
14;Montag;672
15;Montag;807
16;Montag;1192
17;Montag;2761
18;Montag;2389
19;Montag;1274
20;Montag;696
21;Montag;411
22;Montag;324
23;Montag;192
0;Dienstag;91
1;Dienstag;73
2;Dienstag;33
3;Dienstag;19
4;Dienstag;40
5;Dienstag;74
6;Dienstag;530
7;Dienstag;1715
8;Dienstag;3534
9;Dienstag;1573
10;Dienstag;635
11;Dienstag;550
12;Dienstag;395
13;Dienstag;426
14;Dienstag;579
15;Dienstag;718
16;Dienstag;1184
17;Dienstag;2662
18;Dienstag;2610
19;Dienstag;1402
20;Dienstag;720
21;Dienstag;494
22;Dienstag;344
23;Dienstag;212
0;Mittwoch;102
1;Mittwoch;60
2;Mittwoch;33
3;Mittwoch;26
4;Mittwoch;33
5;Mittwoch;80
6;Mittwoch;526
7;Mittwoch;1757
8;Mittwoch;3618
9;Mittwoch;1714
10;Mittwoch;763
11;Mittwoch;690
12;Mittwoch;913
13;Mittwoch;982
14;Mittwoch;783
15;Mittwoch;794
16;Mittwoch;1171
17;Mittwoch;2647
18;Mittwoch;2579
20;Mittwoch;657
21;Mittwoch;516
22;Mittwoch;414
23;Mittwoch;206
0;Donnerstag;123
1;Donnerstag;56
2;Donnerstag;51
3;Donnerstag;33
4;Donnerstag;32
5;Donnerstag;87
6;Donnerstag;511
7;Donnerstag;982
8;Donnerstag;1228
9;Donnerstag;573
10;Donnerstag;185
11;Donnerstag;193
12;Donnerstag;522
13;Donnerstag;672
14;Donnerstag;761
15;Donnerstag;781
16;Donnerstag;1212
17;Donnerstag;2351
18;Donnerstag;2110
19;Donnerstag;1239
20;Donnerstag;752
21;Donnerstag;457
22;Donnerstag;423
23;Donnerstag;267
0;Freitag;147
1;Freitag;60
2;Freitag;65
3;Freitag;42
4;Freitag;47
